transaction_id,sender_account,receiver_account,amount,timestamp,channel,scenario_tag
TX0044,A006,A009,7500,2026-09-02 18:51:00,NEFT,NORMAL
TX0045,A005,A008,12000,2026-09-02 15:52:00,NEFT,NORMAL
TX0046,A007,A010,1200,2026-09-02 14:54:00,NEFT,NORMAL
TX0047,A005,A006,18000,2026-09-02 16:15:00,NEFT,NORMAL
TX0048,A005,A008,5000,2026-09-02 14:01:00,NEFT,NORMAL
TX0049,A009,A010,2500,2026-09-01 16:13:00,NEFT,NORMAL
TX0050,A008,A009,7500,2026-09-02 13:56:00,NEFT,NORMAL
TX0051,A008,A009,800,2026-09-01 17:12:00,NEFT,NORMAL
TX0052,A007,A008,18000,2026-09-02 16:35:00,NEFT,NORMAL
TX0053,A007,A008,5000,2026-09-02 19:45:00,NEFT,NORMAL
TX0054,A005,A008,1200,2026-09-01 10:18:00,NEFT,NORMAL
TX0055,A010,A004,7500,2026-09-01 13:42:00,NEFT,NORMAL
TX0056,A009,A010,2500,2026-09-02 17:33:00,NEFT,NORMAL
TX0057,A010,A004,5000,2026-09-02 14:44:00,NEFT,NORMAL
TX0058,A008,A009,800,2026-09-02 13:14:00,NEFT,NORMAL
TX0059,A007,A008,7500,2026-09-02 10:47:00,NEFT,NORMAL
TX0060,A006,A007,5000,2026-09-01 12:47:00,NEFT,NORMAL
TX0061,A008,A009,1200,2026-09-02 10:53:00,NEFT,NORMAL
TX0062,A008,A009,2500,2026-09-01 14:11:00,NEFT,NORMAL
TX0063,A004,A005,800,2026-09-01 13:02:00,NEFT,NORMAL
TX0064,A006,A009,18000,2026-09-02 11:40:00,NEFT,NORMAL
TX0065,A005,A008,2500,2026-09-01 09:36:00,NEFT,NORMAL
TX0066,A005,A008,1200,2026-09-02 16:21:00,NEFT,NORMAL
TX0067,A004,A005,18000,2026-09-02 16:07:00,NEFT,NORMAL
TX0068,A005,A006,7500,2026-09-02 16:04:00,NEFT,NORMAL
TX0069,A004,A005,7500,2026-09-01 11:51:00,NEFT,NORMAL
TX0070,A008,A009,7500,2026-09-01 12:07:00,NEFT,NORMAL
TX0071,A010,A004,5000,2026-09-01 17:24:00,NEFT,NORMAL
TX0072,A005,A008,2500,2026-09-02 18:27:00,NEFT,NORMAL
TX0073,A007,A010,800,2026-09-01 18:47:00,NEFT,NORMAL
TX0074,A007,A008,800,2026-09-01 13:42:00,NEFT,NORMAL
TX0075,A006,A007,800,2026-09-01 11:35:00,NEFT,NORMAL
TX0076,A006,A007,12000,2026-09-01 15:28:00,NEFT,NORMAL
TX0077,A007,A010,1200,2026-09-02 13:02:00,NEFT,NORMAL
TX0078,A008,A009,12000,2026-09-02 16:04:00,NEFT,NORMAL
TX0079,A007,A008,12000,2026-09-02 19:37:00,NEFT,NORMAL
TX0080,A007,A008,1200,2026-09-02 10:34:00,NEFT,NORMAL
TX0081,A006,A007,800,2026-09-02 11:04:00,NEFT,NORMAL
TX0082,A006,A007,18000,2026-09-02 18:47:00,NEFT,NORMAL
TX0083,A007,A010,5000,2026-09-02 16:07:00,NEFT,NORMAL
TX0084,A008,A009,7500,2026-09-02 13:32:00,NEFT,NORMAL
TX0085,A005,A008,800,2026-09-02 10:38:00,NEFT,NORMAL
TX0086,A010,A004,800,2026-09-02 18:16:00,NEFT,NORMAL
TX0087,A005,A006,18000,2026-09-01 19:53:00,NEFT,NORMAL
TX0088,A007,A010,2500,2026-09-01 19:52:00,NEFT,NORMAL
TX0089,A007,A010,7500,2026-09-01 11:30:00,NEFT,NORMAL
TX0090,A005,A008,5000,2026-09-02 11:37:00,NEFT,NORMAL
TX0091,A005,A008,5000,2026-09-01 16:22:00,NEFT,NORMAL
TX0092,A009,A010,18000,2026-09-02 19:06:00,NEFT,NORMAL
TX0093,A006,A007,5000,2026-09-02 15:44:00,NEFT,NORMAL
TX0094,A008,A009,5000,2026-09-02 17:02:00,NEFT,NORMAL
TX0095,A005,A006,800,2026-09-02 13:20:00,NEFT,NORMAL
TX0096,A010,A004,7500,2026-09-01 19:55:00,NEFT,NORMAL
TX0097,A005,A008,7500,2026-09-02 09:12:00,NEFT,NORMAL
TX0098,A009,A010,18000,2026-09-02 19:28:00,NEFT,NORMAL
TX0099,A004,A005,1200,2026-09-01 13:35:00,NEFT,NORMAL
TX0100,A008,A009,800,2026-09-02 16:07:00,NEFT,NORMAL
TX0101,A007,A010,7500,2026-09-01 11:19:00,NEFT,NORMAL
TX0102,A004,A005,18000,2026-09-02 10:14:00,NEFT,NORMAL
TX0103,A005,A006,18000,2026-09-02 10:41:00,NEFT,NORMAL
TX0104,A006,A007,12000,2026-09-02 13:32:00,NEFT,NORMAL
TX0105,A008,A009,1200,2026-09-02 16:30:00,NEFT,NORMAL
TX0106,A005,A008,7500,2026-09-01 15:12:00,NEFT,NORMAL
TX0107,A006,A009,18000,2026-09-01 10:17:00,NEFT,NORMAL
TX0108,A010,A004,18000,2026-09-02 17:17:00,NEFT,NORMAL
TX0109,A004,A005,7500,2026-09-02 13:53:00,NEFT,NORMAL
TX0110,A007,A010,7500,2026-09-02 11:28:00,NEFT,NORMAL
TX0111,A005,A008,18000,2026-09-02 14:35:00,NEFT,NORMAL
TX0112,A006,A009,2500,2026-09-02 16:59:00,NEFT,NORMAL
TX0113,A007,A008,1200,2026-09-01 18:24:00,NEFT,NORMAL
TX0114,A010,A004,5000,2026-09-01 14:47:00,NEFT,NORMAL
TX0115,A010,A004,18000,2026-09-02 19:50:00,NEFT,NORMAL
TX0116,A006,A007,7500,2026-09-02 09:08:00,NEFT,NORMAL
TX0117,A007,A010,18000,2026-09-02 10:55:00,NEFT,NORMAL
TX0118,A005,A008,5000,2026-09-01 17:58:00,NEFT,NORMAL
TX0119,A004,A005,12000,2026-09-01 15:55:00,NEFT,NORMAL
TX0120,A006,A007,2500,2026-09-01 16:50:00,NEFT,NORMAL
TX0121,A001,A002,100000,2026-09-01 18:15:00,NEFT,INCIDENT
TX0122,A002,A003,95000,2026-09-01 18:34:00,NEFT,INCIDENT
TX0123,A003,A006,78000,2026-09-01 18:48:00,NEFT,INCIDENT
TX0124,A001,A002,85000,2026-09-01 18:52:00,NEFT,INCIDENT
