social_event_id,person_id,platform,timestamp,activity_type,scenario_tag
SOC_EVT0044,P001,PlatformB,2026-09-01 18:43:00,POST,NORMAL
SOC_EVT0045,P003,PlatformC,2026-09-01 12:49:00,LOGIN,NORMAL
SOC_EVT0046,P006,PlatformC,2026-09-02 18:02:00,MESSAGE,NORMAL
SOC_EVT0047,P008,PlatformA,2026-09-02 14:28:00,SHARE,NORMAL
SOC_EVT0048,P003,PlatformC,2026-09-02 15:20:00,LOGIN,NORMAL
SOC_EVT0049,P004,PlatformA,2026-09-01 09:47:00,COMMENT,NORMAL
SOC_EVT0050,P009,PlatformB,2026-09-02 17:07:00,LOGIN,NORMAL
SOC_EVT0051,P008,PlatformC,2026-09-01 18:18:00,COMMENT,NORMAL
SOC_EVT0052,P004,PlatformA,2026-09-01 11:54:00,COMMENT,NORMAL
SOC_EVT0053,P003,PlatformC,2026-09-02 10:51:00,LOGIN,NORMAL
SOC_EVT0054,P006,PlatformB,2026-09-01 17:34:00,LOGIN,NORMAL
SOC_EVT0055,P003,PlatformA,2026-09-01 14:32:00,POST,NORMAL
SOC_EVT0056,P004,PlatformB,2026-09-01 12:50:00,POST,NORMAL
SOC_EVT0057,P006,PlatformC,2026-09-02 16:51:00,MESSAGE,NORMAL
SOC_EVT0058,P010,PlatformB,2026-09-01 10:19:00,COMMENT,NORMAL
SOC_EVT0059,P009,PlatformC,2026-09-02 15:52:00,POST,NORMAL
SOC_EVT0060,P003,PlatformB,2026-09-02 19:04:00,COMMENT,NORMAL
SOC_EVT0061,P009,PlatformC,2026-09-02 11:56:00,SHARE,NORMAL
SOC_EVT0062,P003,PlatformA,2026-09-01 15:32:00,POST,NORMAL
SOC_EVT0063,P009,PlatformA,2026-09-01 13:10:00,LOGIN,NORMAL
SOC_EVT0064,P004,PlatformB,2026-09-02 17:57:00,POST,NORMAL
SOC_EVT0065,P005,PlatformB,2026-09-01 19:35:00,MESSAGE,NORMAL
SOC_EVT0066,P005,PlatformA,2026-09-01 17:41:00,SHARE,NORMAL
SOC_EVT0067,P010,PlatformC,2026-09-01 11:42:00,SHARE,NORMAL
SOC_EVT0068,P006,PlatformA,2026-09-01 09:05:00,SHARE,NORMAL
SOC_EVT0069,P005,PlatformC,2026-09-01 18:26:00,POST,NORMAL
SOC_EVT0070,P008,PlatformB,2026-09-02 19:19:00,MESSAGE,NORMAL
SOC_EVT0071,P007,PlatformC,2026-09-02 16:04:00,POST,NORMAL
SOC_EVT0072,P003,PlatformB,2026-09-02 15:30:00,MESSAGE,NORMAL
SOC_EVT0073,P006,PlatformC,2026-09-01 14:55:00,LOGIN,NORMAL
SOC_EVT0074,P006,PlatformB,2026-09-02 11:48:00,SHARE,NORMAL
SOC_EVT0075,P009,PlatformB,2026-09-01 14:15:00,POST,NORMAL
SOC_EVT0076,P005,PlatformA,2026-09-02 12:09:00,POST,NORMAL
SOC_EVT0077,P005,PlatformA,2026-09-02 18:26:00,MESSAGE,NORMAL
SOC_EVT0078,P006,PlatformA,2026-09-02 12:48:00,COMMENT,NORMAL
SOC_EVT0079,P009,PlatformB,2026-09-02 16:56:00,COMMENT,NORMAL
SOC_EVT0080,P001,PlatformB,2026-09-01 15:32:00,MESSAGE,NORMAL
SOC_EVT0081,P004,PlatformB,2026-09-02 09:03:00,COMMENT,NORMAL
SOC_EVT0082,P010,PlatformA,2026-09-02 13:34:00,POST,NORMAL
SOC_EVT0083,P007,PlatformB,2026-09-01 13:46:00,COMMENT,NORMAL
SOC_EVT0084,P006,PlatformC,2026-09-01 15:03:00,SHARE,NORMAL
SOC_EVT0085,P004,PlatformA,2026-09-02 17:18:00,COMMENT,NORMAL
SOC_EVT0086,P009,PlatformC,2026-09-02 17:17:00,SHARE,NORMAL
SOC_EVT0087,P002,PlatformB,2026-09-01 10:25:00,LOGIN,NORMAL
SOC_EVT0088,P009,PlatformC,2026-09-02 11:12:00,SHARE,NORMAL
SOC_EVT0089,P007,PlatformA,2026-09-01 09:02:00,LOGIN,NORMAL
SOC_EVT0090,P008,PlatformC,2026-09-02 11:38:00,MESSAGE,NORMAL
SOC_EVT0091,P006,PlatformC,2026-09-02 11:25:00,LOGIN,NORMAL
SOC_EVT0092,P010,PlatformC,2026-09-02 17:53:00,SHARE,NORMAL
SOC_EVT0093,P008,PlatformA,2026-09-02 16:52:00,LOGIN,NORMAL
SOC_EVT0094,P006,PlatformB,2026-09-01 15:37:00,POST,NORMAL
SOC_EVT0095,P010,PlatformC,2026-09-02 13:41:00,SHARE,NORMAL
SOC_EVT0096,P004,PlatformA,2026-09-01 18:30:00,SHARE,NORMAL
SOC_EVT0097,P010,PlatformC,2026-09-02 11:52:00,MESSAGE,NORMAL
SOC_EVT0098,P001,PlatformB,2026-09-01 12:01:00,LOGIN,NORMAL
SOC_EVT0099,P007,PlatformA,2026-09-01 15:44:00,COMMENT,NORMAL
SOC_EVT0100,P009,PlatformA,2026-09-02 09:45:00,SHARE,NORMAL
SOC_EVT0101,P001,PlatformA,2026-09-01 18:41:00,POST,INCIDENT
SOC_EVT0102,P002,PlatformA,2026-09-01 18:45:00,MESSAGE,INCIDENT
SOC_EVT0103,P003,PlatformA,2026-09-01 18:51:00,LOGIN,INCIDENT
