ipdr_id,person_id,ip_address,timestamp,session_duration_seconds,device_id,scenario_tag
IPDR0070,P002,10.10.1.12,2026-09-02 11:35:00,91,DEV002,NORMAL
IPDR0071,P010,10.10.1.20,2026-09-02 19:07:00,450,DEV010,NORMAL
IPDR0072,P006,10.10.1.16,2026-09-02 09:18:00,644,DEV006,NORMAL
IPDR0073,P005,10.10.1.15,2026-09-02 10:36:00,549,DEV005,NORMAL
IPDR0074,P004,10.10.1.14,2026-09-01 19:30:00,259,DEV004,NORMAL
IPDR0075,P002,10.10.1.12,2026-09-02 17:23:00,147,DEV002,NORMAL
IPDR0076,P005,10.10.1.15,2026-09-01 15:54:00,604,DEV005,NORMAL
IPDR0077,P010,10.10.1.20,2026-09-01 18:59:00,703,DEV010,NORMAL
IPDR0078,P005,10.10.1.15,2026-09-01 11:17:00,749,DEV005,NORMAL
IPDR0079,P005,10.10.1.15,2026-09-02 14:00:00,215,DEV005,NORMAL
IPDR0080,P003,10.10.1.13,2026-09-02 10:09:00,788,DEV003,NORMAL
IPDR0081,P001,10.10.1.11,2026-09-01 17:13:00,415,DEV001,NORMAL
IPDR0082,P007,10.10.1.17,2026-09-02 14:10:00,408,DEV007,NORMAL
IPDR0083,P005,10.10.1.15,2026-09-02 18:38:00,116,DEV005,NORMAL
IPDR0084,P001,10.10.1.11,2026-09-01 11:48:00,662,DEV001,NORMAL
IPDR0085,P001,10.10.1.11,2026-09-01 13:28:00,707,DEV001,NORMAL
IPDR0086,P007,10.10.1.17,2026-09-02 18:28:00,454,DEV007,NORMAL
IPDR0087,P005,10.10.1.15,2026-09-01 17:07:00,383,DEV005,NORMAL
IPDR0088,P007,10.10.1.17,2026-09-01 13:43:00,724,DEV007,NORMAL
IPDR0089,P010,10.10.1.20,2026-09-02 17:42:00,345,DEV010,NORMAL
IPDR0090,P001,10.10.1.11,2026-09-01 15:38:00,86,DEV001,NORMAL
IPDR0091,P001,10.10.1.11,2026-09-01 13:13:00,815,DEV001,NORMAL
IPDR0092,P003,10.10.1.13,2026-09-02 13:20:00,152,DEV003,NORMAL
IPDR0093,P001,10.10.1.11,2026-09-02 15:11:00,162,DEV001,NORMAL
IPDR0094,P007,10.10.1.17,2026-09-01 17:35:00,883,DEV007,NORMAL
IPDR0095,P006,10.10.1.16,2026-09-01 15:55:00,789,DEV006,NORMAL
IPDR0096,P001,10.10.1.11,2026-09-02 09:29:00,109,DEV001,NORMAL
IPDR0097,P006,10.10.1.16,2026-09-02 18:25:00,756,DEV006,NORMAL
IPDR0098,P007,10.10.1.17,2026-09-02 10:25:00,51,DEV007,NORMAL
IPDR0099,P006,10.10.1.16,2026-09-01 18:29:00,881,DEV006,NORMAL
IPDR0100,P006,10.10.1.16,2026-09-01 15:54:00,138,DEV006,NORMAL
IPDR0101,P004,10.10.1.14,2026-09-02 18:25:00,566,DEV004,NORMAL
IPDR0102,P002,10.10.1.12,2026-09-02 13:47:00,377,DEV002,NORMAL
IPDR0103,P004,10.10.1.14,2026-09-02 11:04:00,552,DEV004,NORMAL
IPDR0104,P002,10.10.1.12,2026-09-01 14:22:00,774,DEV002,NORMAL
IPDR0105,P003,10.10.1.13,2026-09-01 10:09:00,292,DEV003,NORMAL
IPDR0106,P004,10.10.1.14,2026-09-01 18:09:00,808,DEV004,NORMAL
IPDR0107,P002,10.10.1.12,2026-09-01 19:31:00,505,DEV002,NORMAL
IPDR0108,P010,10.10.1.20,2026-09-02 19:59:00,608,DEV010,NORMAL
IPDR0109,P010,10.10.1.20,2026-09-02 19:20:00,184,DEV010,NORMAL
IPDR0110,P008,10.10.1.18,2026-09-01 16:28:00,676,DEV008,NORMAL
IPDR0111,P005,10.10.1.15,2026-09-02 18:03:00,390,DEV005,NORMAL
IPDR0112,P009,10.10.1.19,2026-09-01 13:29:00,492,DEV009,NORMAL
IPDR0113,P001,10.10.1.11,2026-09-01 14:53:00,323,DEV001,NORMAL
IPDR0114,P002,10.10.1.12,2026-09-01 18:38:00,549,DEV002,NORMAL
IPDR0115,P007,10.10.1.17,2026-09-02 18:35:00,840,DEV007,NORMAL
IPDR0116,P001,10.10.1.11,2026-09-02 18:41:00,222,DEV001,NORMAL
IPDR0117,P006,10.10.1.16,2026-09-02 17:09:00,93,DEV006,NORMAL
IPDR0118,P008,10.10.1.18,2026-09-01 14:45:00,116,DEV008,NORMAL
IPDR0119,P009,10.10.1.19,2026-09-01 09:15:00,754,DEV009,NORMAL
IPDR0120,P008,10.10.1.18,2026-09-02 17:33:00,654,DEV008,NORMAL
IPDR0121,P003,10.10.1.13,2026-09-02 14:58:00,319,DEV003,NORMAL
IPDR0122,P007,10.10.1.17,2026-09-02 14:43:00,642,DEV007,NORMAL
IPDR0123,P001,10.10.1.11,2026-09-02 10:21:00,126,DEV001,NORMAL
IPDR0124,P009,10.10.1.19,2026-09-02 13:16:00,771,DEV009,NORMAL
IPDR0125,P010,10.10.1.20,2026-09-01 14:05:00,626,DEV010,NORMAL
IPDR0126,P003,10.10.1.13,2026-09-02 13:41:00,745,DEV003,NORMAL
IPDR0127,P007,10.10.1.17,2026-09-01 18:45:00,116,DEV007,NORMAL
IPDR0128,P005,10.10.1.15,2026-09-02 19:50:00,366,DEV005,NORMAL
IPDR0129,P003,10.10.1.13,2026-09-01 19:42:00,463,DEV003,NORMAL
IPDR0130,P009,10.10.1.19,2026-09-02 09:23:00,346,DEV009,NORMAL
IPDR0131,P001,203.0.113.77,2026-09-01 17:48:00,166,DEV001,INCIDENT
IPDR0132,P002,203.0.113.77,2026-09-01 18:22:00,174,DEV002,INCIDENT
IPDR0133,P003,203.0.113.77,2026-09-01 18:40:00,207,DEV003,INCIDENT
